delta,alpha1,alpha2,alpha3,alpha4,alpha5,E_lower,E_upper
0.01,0.071980096,0.071980096,0.150525243,0.213928595,0.491585969,4.517062201,4.507590807
0.01,0.124465642,0.124465642,0.031802294,0.242593682,0.47667274,3.637687986,3.605160075
0.01,0.03733719,0.03733719,0.435908686,0.439128435,0.050288499,2.798999789,2.798789498
0.01,0.082601114,0.082601114,0.42424144,0.063789283,0.346767048,2.039008507,2.03790333
0.01,0.101797509,0.101797509,0.154234767,0.495982509,0.146187707,4.840083848,4.814843726
0.01,0.076058149,0.076058149,0.101281643,0.421591549,0.325010512,1.95730369,1.956917722
0.01,0.105808157,0.105808157,0.45357106,0.150756317,0.184056307,2.702923058,2.691008778
0.01,0.051807616,0.051807616,0.141024876,0.481124442,0.27423545,3.855493931,3.852211903
0.01,0.052066476,0.052066476,0.438428594,0.022065341,0.435373113,2.781490388,2.780037232
0.01,0.137987656,0.137987656,0.162773315,0.474903244,0.086348129,3.572150526,3.530461354
0.01,0.099514558,0.099514558,0.149795529,0.428556448,0.222618907,2.037435374,2.03649107
0.01,0.038701759,0.038701759,0.442761866,0.279616007,0.200218609,2.372233395,2.372124877
0.01,0.072106041,0.072106041,0.175826045,0.215278504,0.464683369,3.101821364,3.095480678
0.01,0.067003955,0.067003955,0.175969784,0.263627393,0.426394914,2.000436335,1.999861153
0.01,0.104438199,0.104438199,0.456035011,0.079931004,0.255157586,2.777595758,2.765303338
0.01,0.036986926,0.036986926,0.143483688,0.459353068,0.323189391,2.881197018,2.880771837
0.01,0.04918744,0.04918744,0.174723832,0.435015751,0.291885536,2.190349269,2.189925051
0.01,0.063731484,0.063731484,0.091489967,0.31874693,0.462300134,2.991119134,2.987127834
0.01,0.140861702,0.140861702,0.451434792,0.10260006,0.164241744,2.634739779,2.619733922
0.01,0.063710294,0.063710294,0.270738473,0.176712592,0.425128348,1.978306738,1.977948982
0.01,0.065905371,0.065905371,0.491253703,0.203294619,0.173640937,4.493929382,4.486477902
0.01,0.166246323,0.166246323,0.036880289,0.159237878,0.471389186,3.396064672,3.344749119
0.01,0.143261246,0.143261246,0.468668745,0.216319442,0.028489321,3.268004828,3.231259334
0.01,0.067820672,0.067820672,0.303338316,0.110863619,0.450156721,2.5877716,2.584374635
0.01,0.142466252,0.142466252,0.086152621,0.482130411,0.146784463,3.953707601,3.900538432
0.01,0.08932008,0.08932008,0.28057141,0.101689005,0.439099426,2.285459421,2.281430212
0.01,0.112309931,0.112309931,0.117211362,0.461244951,0.196923826,2.975724713,2.958069952
0.01,0.058710414,0.058710414,0.318713234,0.428260658,0.135605281,2.069302479,2.06876829
0.01,0.063271342,0.063271342,0.296086798,0.106854981,0.470515538,3.328353996,3.323570594
0.01,0.041846729,0.041846729,0.286078133,0.134189224,0.496039185,4.779655262,4.777693763
0.01,0.135412997,0.135412997,0.479659724,0.113225046,0.136289236,3.820225439,3.775761572
0.01,0.133996195,0.133996195,0.447806131,0.051497471,0.232704009,2.516592779,2.505670377
0.01,0.058978221,0.058978221,0.266354382,0.460924836,0.154764341,2.945649246,2.942406108
0.01,0.059467216,0.059467216,0.218730458,0.215235489,0.447099621,2.492011706,2.489875204
0.01,0.06711706,0.06711706,0.287914763,0.435888861,0.141962257,2.210213063,2.208535174
0.01,0.14781709,0.14781709,0.453526712,0.02544101,0.225398098,2.692191488,2.675962554
0.01,0.045125323,0.045125323,0.469241692,0.329083193,0.111424469,3.261131244,3.259558528
0.01,0.122697376,0.122697376,0.07320576,0.220542411,0.460857078,2.955998746,2.935188601
0.01,0.068820915,0.068820915,0.422600968,0.188556172,0.251201029,1.925177301,1.925020545
0.01,0.027676299,0.027676299,0.189593309,0.484743879,0.270310213,4.047946075,4.047839117
0.01,0.056695703,0.056695703,0.087919372,0.33901749,0.459671733,2.899182366,2.896589823
0.01,0.052168793,0.052168793,0.326206803,0.472712751,0.09674286,3.414027019,3.411278019
0.01,0.068503377,0.068503377,0.094246071,0.292770706,0.475976468,3.584167972,3.577609145
0.01,0.077139229,0.077139229,0.367340407,0.046315102,0.432066033,2.227342526,2.225062109
0.01,0.082201074,0.082201074,0.436654431,0.287862343,0.111081078,2.22879047,2.225871306
0.01,0.123859,0.123859,0.014192934,0.436642416,0.30144665,2.231672572,2.228932405
0.01,0.052179199,0.052179199,0.426074835,0.228513382,0.241053386,1.991393118,1.991341587
0.01,0.040661566,0.040661566,0.495587366,0.162841669,0.260247832,4.761894929,4.760091606
0.01,0.101627971,0.101627971,0.200219969,0.433481524,0.163042566,2.144496081,2.141771351
0.01,0.076895586,0.076895586,0.470819183,0.148036845,0.2273528,3.364969677,3.356460122
0.01,0.165952744,0.165952744,0.490943241,0.162517419,0.014633851,4.474596776,4.381413884
0.01,0.137710438,0.137710438,0.450395967,0.241072145,0.033111012,2.592579774,2.579288124
0.01,0.04575048,0.04575048,0.228542225,0.458057609,0.221899205,2.838818003,2.837517961
0.01,0.113111226,0.113111226,0.065047098,0.243694468,0.465035981,3.114282401,3.094718008
0.01,0.040116221,0.040116221,0.130312868,0.335223282,0.454231409,2.717907431,2.717378579
0.01,0.069781671,0.069781671,0.134651294,0.493865835,0.23191953,4.665798525,4.65697118
